0.059400 1:0.116214 2:0.000000 3:0.002657 4:0.068907 5:0.000675 6:0.113524 7:0.000210 8:0.003542 9:0.064739 10:0.000100 11:0.112444 12:0.000726 13:0.004729 14:0.061804 15:0.000000
0.063000 1:0.113524 2:0.000210 3:0.003542 4:0.064739 5:0.000100 6:0.112444 7:0.000726 8:0.004729 9:0.061804 10:0.000000 11:0.113038 12:0.001525 13:0.006145 14:0.060240 15:0.000434
0.070200 1:0.112444 2:0.000726 3:0.004729 4:0.061804 5:0.000000 6:0.113038 7:0.001525 8:0.006145 9:0.060240 10:0.000434 11:0.115091 12:0.002539 13:0.007691 14:0.059975 15:0.001380
0.075600 1:0.113038 2:0.001525 3:0.006145 4:0.060240 5:0.000434 6:0.115091 7:0.002539 8:0.007691 9:0.059975 10:0.001380 11:0.118242 12:0.003683 13:0.009279 14:0.060753 15:0.002752
0.081000 1:0.115091 2:0.002539 3:0.007691 4:0.059975 5:0.001380 6:0.118242 7:0.003683 8:0.009279 9:0.060753 10:0.002752 11:0.122088 12:0.004879 13:0.010860 14:0.062243 15:0.004426
0.081000 1:0.118242 2:0.003683 3:0.009279 4:0.060753 5:0.002752 6:0.122088 7:0.004879 8:0.010860 9:0.062243 10:0.004426 11:0.126297 12:0.006085 13:0.012439 14:0.064078 15:0.006278
0.086400 1:0.122088 2:0.004879 3:0.010860 4:0.062243 5:0.004426 6:0.126297 7:0.006085 8:0.012439 9:0.064078 10:0.006278 11:0.130652 12:0.007295 13:0.014068 14:0.065938 15:0.008203
0.091800 1:0.126297 2:0.006085 3:0.012439 4:0.064078 5:0.006278 6:0.130652 7:0.007295 8:0.014068 9:0.065938 10:0.008203 11:0.135038 12:0.008534 13:0.015813 14:0.067566 15:0.010132
0.097200 1:0.130652 2:0.007295 3:0.014068 4:0.065938 5:0.008203 6:0.135038 7:0.008534 8:0.015813 9:0.067566 10:0.010132 11:0.139379 12:0.009832 13:0.017729 14:0.068789 15:0.012028
0.102600 1:0.135038 2:0.008534 3:0.015813 4:0.067566 5:0.010132 6:0.139379 7:0.009832 8:0.017729 9:0.068789 10:0.012028 11:0.143588 12:0.011200 13:0.019826 14:0.069509 15:0.013869
0.108000 1:0.139379 2:0.009832 3:0.017729 4:0.068789 5:0.012028 6:0.143588 7:0.011200 8:0.019826 9:0.069509 10:0.013869 11:0.147564 12:0.012622 13:0.022067 14:0.069709 15:0.015644
0.113400 1:0.143588 2:0.011200 3:0.019826 4:0.069509 5:0.013869 6:0.147564 7:0.012622 8:0.022067 9:0.069709 10:0.015644 11:0.151208 12:0.014062 13:0.024380 14:0.069465 15:0.017347
0.113400 1:0.147564 2:0.012622 3:0.022067 4:0.069709 5:0.015644 6:0.151208 7:0.014062 8:0.024380 9:0.069465 10:0.017347 11:0.154489 12:0.015484 13:0.026690 14:0.068935 15:0.018993
0.118800 1:0.151208 2:0.014062 3:0.024380 4:0.069465 5:0.017347 6:0.154489 7:0.015484 8:0.026690 9:0.068935 10:0.018993 11:0.157465 12:0.016868 13:0.028944 14:0.068329 15:0.020623
0.124200 1:0.154489 2:0.015484 3:0.026690 4:0.068935 5:0.018993 6:0.157465 7:0.016868 8:0.028944 9:0.068329 10:0.020623 11:0.160273 12:0.018226 13:0.031122 14:0.067882 15:0.022298
0.129600 1:0.157465 2:0.016868 3:0.028944 4:0.068329 5:0.020623 6:0.160273 7:0.018226 8:0.031122 9:0.067882 10:0.022298 11:0.163068 12:0.019589 13:0.033240 14:0.067764 15:0.024082
0.135000 1:0.160273 2:0.018226 3:0.031122 4:0.067882 5:0.022298 6:0.163068 7:0.019589 8:0.033240 9:0.067764 10:0.024082 11:0.165960 12:0.020995 13:0.035322 14:0.068065 15:0.026010
0.140400 1:0.163068 2:0.019589 3:0.033240 4:0.067764 5:0.024082 6:0.165960 7:0.020995 8:0.035322 9:0.068065 10:0.026010 11:0.168958 12:0.022469 13:0.037388 14:0.068743 15:0.028071
0.140400 1:0.165960 2:0.020995 3:0.035322 4:0.068065 5:0.026010 6:0.168958 7:0.022469 8:0.037388 9:0.068743 10:0.028071 11:0.171984 12:0.024007 13:0.039439 14:0.069665 15:0.030194
0.145800 1:0.168958 2:0.022469 3:0.037388 4:0.068743 5:0.028071 6:0.171984 7:0.024007 8:0.039439 9:0.069665 10:0.030194 11:0.174902 12:0.025577 13:0.041449 14:0.070629 15:0.032268
0.151200 1:0.171984 2:0.024007 3:0.039439 4:0.069665 5:0.030194 6:0.174902 7:0.025577 8:0.041449 9:0.070629 10:0.032268 11:0.177574 12:0.027122 13:0.043377 14:0.071433 15:0.034170
0.156600 1:0.174902 2:0.025577 3:0.041449 4:0.070629 5:0.032268 6:0.177574 7:0.027122 8:0.043377 9:0.071433 10:0.034170 11:0.179915 12:0.028575 13:0.045176 14:0.071915 15:0.035788
0.162000 1:0.177574 2:0.027122 3:0.043377 4:0.071433 5:0.034170 6:0.179915 7:0.028575 8:0.045176 9:0.071915 10:0.035788 11:0.181882 12:0.029877 13:0.046803 14:0.071991 15:0.037058
0.167400 1:0.179915 2:0.028575 3:0.045176 4:0.071915 5:0.035788 6:0.181882 7:0.029877 8:0.046803 9:0.071991 10:0.037058 11:0.183469 12:0.030989 13:0.048227 14:0.071654 15:0.037964
0.172800 1:0.181882 2:0.029877 3:0.046803 4:0.071991 5:0.037058 6:0.183469 7:0.030989 8:0.048227 9:0.071654 10:0.037964 11:0.184677 12:0.031893 13:0.049433 14:0.070941 15:0.038532
0.172800 1:0.183469 2:0.030989 3:0.048227 4:0.071654 5:0.037964 6:0.184677 7:0.031893 8:0.049433 9:0.070941 10:0.038532 11:0.185453 12:0.032588 13:0.050419 14:0.069915 15:0.038805
0.178200 1:0.184677 2:0.031893 3:0.049433 4:0.070941 5:0.038532 6:0.185453 7:0.032588 8:0.050419 9:0.069915 10:0.038805 11:0.185694 12:0.033080 13:0.051188 14:0.068612 15:0.038821
0.183600 1:0.185453 2:0.032588 3:0.050419 4:0.069915 5:0.038805 6:0.185694 7:0.033080 8:0.051188 9:0.068612 10:0.038821 11:0.185267 12:0.033373 13:0.051746 14:0.067052 15:0.038594
0.189000 1:0.185694 2:0.033080 3:0.051188 4:0.068612 5:0.038821 6:0.185267 7:0.033373 8:0.051746 9:0.067052 10:0.038594 11:0.184068 12:0.033470 13:0.052107 14:0.065241 15:0.038122
0.194400 1:0.185267 2:0.033373 3:0.051746 4:0.067052 5:0.038594 6:0.184068 7:0.033470 8:0.052107 9:0.065241 10:0.038122 11:0.182071 12:0.033382 13:0.052297 14:0.063191 15:0.037409
0.198000 1:0.184068 2:0.033470 3:0.052107 4:0.065241 5:0.038122 6:0.182071 7:0.033382 8:0.052297 9:0.063191 10:0.037409 11:0.179381 12:0.033127 13:0.052361 14:0.060931 15:0.036480
0.205200 1:0.182071 2:0.033382 3:0.052297 4:0.063191 5:0.037409 6:0.179381 7:0.033127 8:0.052361 9:0.060931 10:0.036480 11:0.176246 12:0.032748 13:0.052368 14:0.058531 15:0.035402
0.205200 1:0.179381 2:0.033127 3:0.052361 4:0.060931 5:0.036480 6:0.176246 7:0.032748 8:0.052368 9:0.058531 10:0.035402 11:0.173020 12:0.032308 13:0.052406 14:0.056087 15:0.034286
0.210600 1:0.176246 2:0.032748 3:0.052368 4:0.058531 5:0.035402 6:0.173020 7:0.032308 8:0.052406 9:0.056087 10:0.034286 11:0.170106 12:0.031884 13:0.052567 14:0.053722 15:0.033273
0.216000 1:0.173020 2:0.032308 3:0.052406 4:0.056087 5:0.034286 6:0.170106 7:0.031884 8:0.052567 9:0.053722 10:0.033273 11:0.167888 12:0.031554 13:0.052929 14:0.051570 15:0.032495
0.221400 1:0.170106 2:0.031884 3:0.052567 4:0.053722 5:0.033273 6:0.167888 7:0.031554 8:0.052929 9:0.051570 10:0.032495 11:0.166612 12:0.031380 13:0.053538 14:0.049745 15:0.032052
0.226800 1:0.167888 2:0.031554 3:0.052929 4:0.051570 5:0.032495 6:0.166612 7:0.031380 8:0.053538 9:0.049745 10:0.032052 11:0.166367 12:0.031400 13:0.054397 14:0.048314 15:0.031975
0.232200 1:0.166612 2:0.031380 3:0.053538 4:0.049745 5:0.032052 6:0.166367 7:0.031400 8:0.054397 9:0.048314 10:0.031975 11:0.167030 12:0.031620 13:0.055468 14:0.047276 15:0.032237
